disable_BBR-learners/policy_2/entropy_step,disable_BBR-learners/policy_1/entropy_step,disable_BBR-learners/policy_3/entropy_step,disable_BBR-learners/policy_4/entropy_step,disable_BBR-learners/policy_5/entropy_step,enable_BBR-learners/policy_2/entropy_step,enable_BBR-learners/policy_1/entropy_step,enable_BBR-learners/policy_3/entropy_step,enable_BBR-learners/policy_4/entropy_step,enable_BBR-learners/policy_5/entropy_step,disable_BBR-learners/policy_6/entropy_step,disable_BBR-learners/policy_7/entropy_step,disable_BBR-learners/policy_8/entropy_step,disable_BBR-learners/policy_9/entropy_step,disable_BBR-learners/policy_10/entropy_step,enable_BBR-learners/policy_6/entropy_step,enable_BBR-learners/policy_7/entropy_step,enable_BBR-learners/policy_8/entropy_step,enable_BBR-learners/policy_9/entropy_step,enable_BBR-learners/policy_10/entropy_step
4.6035990715026855,4.603724956512451,4.603692054748535,4.603816986083984,4.603857517242432,4.603659152984619,4.603630542755127,4.603843688964844,4.603802680969238,4.603948593139648,4.603686809539795,4.603818416595459,4.603519439697266,4.603731155395508,4.60367488861084,4.603896141052246,4.603553771972656,4.603561878204346,4.603795051574707,4.603969097137451
4.6034932136535645,4.603673458099365,4.603669166564941,4.603635311126709,4.6036882400512695,4.603572845458984,4.603493690490723,4.603662967681885,4.60367488861084,4.603749752044678,4.603537559509277,4.603785991668701,4.6032915115356445,4.603511810302734,4.603543281555176,4.603806972503662,4.603390693664551,4.603365421295166,4.603617191314697,4.603915691375732
4.602543354034424,4.602848529815674,4.603087425231934,4.602781295776367,4.602560043334961,4.6026291847229,4.602278709411621,4.601711273193359,4.602418899536133,4.602401733398438,4.60262393951416,4.603341579437256,4.602065086364746,4.602303981781006,4.602807521820068,4.603198051452637,4.6026177406311035,4.602557182312012,4.602228164672852,4.60333776473999
4.598307132720947,4.598923206329346,4.600945472717285,4.598300933837891,4.600189208984375,4.596776962280273,4.597503185272217,4.597198009490967,4.59693717956543,4.597124099731445,4.597440719604492,4.6012678146362305,4.595390796661377,4.5942463874816895,4.6012187004089355,4.60052490234375,4.596200466156006,4.598756790161133,4.5993971824646,4.602055549621582
4.590770721435547,4.588878631591797,4.595626831054688,4.586944580078125,4.5923075675964355,4.594228267669678,4.595383644104004,4.594744682312012,4.594161987304688,4.594956398010254,4.586855888366699,4.595987796783447,4.582061290740967,4.578402996063232,4.596352577209473,4.598891735076904,4.5893120765686035,4.597002029418945,4.598047733306885,4.600631237030029
4.573744773864746,4.568925857543945,4.582266807556152,4.562228202819824,4.5778093338012695,4.580899238586426,4.581873893737793,4.581177234649658,4.5773539543151855,4.58193826675415,4.562267780303955,4.584430694580078,4.556358814239502,4.544971466064453,4.583460330963135,4.589676380157471,4.574787616729736,4.58857536315918,4.586635589599609,4.594047546386719
4.538044452667236,4.532906532287598,4.553581237792969,4.513325214385986,4.543489456176758,4.539517879486084,4.549656867980957,4.554672241210938,4.536903381347656,4.548468589782715,4.510778903961182,4.560730457305908,4.504361629486084,4.469310283660889,4.556424140930176,4.565829753875732,4.531981945037842,4.566361904144287,4.560035228729248,4.577459812164307
4.463623523712158,4.463072776794434,4.489941120147705,4.442561626434326,4.46838903427124,4.475586891174316,4.496647834777832,4.499148368835449,4.480160713195801,4.497121334075928,4.439323425292969,4.503655433654785,4.431051731109619,4.376867294311523,4.491049289703369,4.519412517547607,4.472437858581543,4.531391620635986,4.493747711181641,4.533665657043457
4.3988356590271,4.40293025970459,4.412952899932861,4.388570308685303,4.398313522338867,4.3939208984375,4.411134243011475,4.406717777252197,4.398289680480957,4.411669731140137,4.367892742156982,4.415505886077881,4.374704360961914,4.312249183654785,4.4072065353393555,4.427992820739746,4.399994373321533,4.446422576904297,4.399725914001465,4.442207336425781
4.369064331054688,4.350171566009521,4.361710071563721,4.356940269470215,4.347273349761963,4.353240489959717,4.372957706451416,4.3595290184021,4.379676818847656,4.377456665039062,4.340299129486084,4.355434417724609,4.331838607788086,4.274338245391846,4.356534481048584,4.392044067382812,4.354888916015625,4.382292747497559,4.365850448608398,4.388182640075684
4.352013111114502,4.327127456665039,4.341670513153076,4.341658115386963,4.319849967956543,4.311684608459473,4.322151184082031,4.296899795532227,4.355437755584717,4.337156295776367,4.316859722137451,4.319356918334961,4.321479797363281,4.250950336456299,4.331046104431152,4.352325916290283,4.316743850708008,4.331006526947021,4.320157527923584,4.340608596801758
4.343496322631836,4.303379535675049,4.325154781341553,4.33976411819458,4.303512096405029,4.307246685028076,4.302151203155518,4.279858589172363,4.335756778717041,4.316689491271973,4.312968730926514,4.294483661651611,4.302003860473633,4.241229057312012,4.3072004318237305,4.340996265411377,4.317906379699707,4.303492546081543,4.307374000549316,4.31350564956665
4.335444927215576,4.290652751922607,4.310595512390137,4.336083889007568,4.293917655944824,4.28640079498291,4.290617942810059,4.255587100982666,4.316673755645752,4.305271625518799,4.306103229522705,4.281261444091797,4.2796549797058105,4.22958517074585,4.305727481842041,4.330026149749756,4.298127174377441,4.283401012420654,4.298566818237305,4.29396915435791
4.329521179199219,4.291268348693848,4.304995536804199,4.3310227394104,4.288686275482178,4.27369499206543,4.289170265197754,4.246407985687256,4.302696704864502,4.30385684967041,4.30104398727417,4.268970489501953,4.268430233001709,4.229619979858398,4.300856590270996,4.328971862792969,4.302723407745361,4.280313491821289,4.291558265686035,4.290388584136963
4.320064067840576,4.282748699188232,4.292272567749023,4.326464176177979,4.272647380828857,4.270256519317627,4.287985324859619,4.237342834472656,4.293219566345215,4.294191837310791,4.296071529388428,4.262319564819336,4.27073335647583,4.222153186798096,4.300498008728027,4.326869487762451,4.290912628173828,4.275586128234863,4.288685321807861,4.289465427398682
4.319497108459473,4.282517910003662,4.284062385559082,4.315298557281494,4.264979839324951,4.27492618560791,4.279167175292969,4.22933292388916,4.287814140319824,4.286674499511719,4.291358470916748,4.261894226074219,4.260366916656494,4.213316440582275,4.297614097595215,4.331785678863525,4.284892559051514,4.27048921585083,4.281249523162842,4.283411502838135
4.311054229736328,4.277985572814941,4.279685020446777,4.310901165008545,4.264312744140625,4.270746231079102,4.26763391494751,4.227649688720703,4.287811756134033,4.288480758666992,4.287978172302246,4.261658191680908,4.260008335113525,4.209574222564697,4.2917985916137695,4.327419757843018,4.284469604492188,4.272345066070557,4.278014659881592,4.278509616851807
4.310100078582764,4.272598266601562,4.286447525024414,4.305428504943848,4.258908271789551,4.257955074310303,4.2633161544799805,4.228240966796875,4.293613910675049,4.2853899002075195,4.281773090362549,4.261861801147461,4.25167989730835,4.20873498916626,4.29555606842041,4.330791473388672,4.274658203125,4.262923240661621,4.268928050994873,4.272365570068359
4.305051326751709,4.2754926681518555,4.273324012756348,4.290652275085449,4.260831356048584,4.262442588806152,4.263097286224365,4.223860740661621,4.287957191467285,4.281079769134521,4.258180141448975,4.2561421394348145,4.252228736877441,4.212366104125977,4.287661552429199,4.328309059143066,4.2805681228637695,4.262568950653076,4.27137565612793,4.27253532409668
4.308404445648193,4.271727085113525,4.284005165100098,4.301028728485107,4.269731044769287,4.261910915374756,4.263849258422852,4.226615905761719,4.279312133789062,4.274422645568848,4.266878604888916,4.254378318786621,4.244194507598877,4.207061290740967,4.286652565002441,4.326930999755859,4.278481483459473,4.256173133850098,4.267332077026367,4.277202606201172
4.296343326568604,4.270885467529297,4.277462005615234,4.298622131347656,4.259310722351074,4.255288124084473,4.263071537017822,4.223201751708984,4.275883674621582,4.270700454711914,4.260894298553467,4.241446018218994,4.238672256469727,4.212637901306152,4.275717735290527,4.32014799118042,4.273977756500244,4.254814147949219,4.264830589294434,4.275636196136475
