disable_BBR-env_runners/episode_return_mean_step,enable_BBR-env_runners/episode_return_mean_step
-20.69567630568093,-18.76738365752065
-22.02156622965621,-15.47108169270163
-17.92968277049277,-19.43143223205398
-17.47187734568558,-23.79253222521709
-19.35092199795564,-15.30856945708197
-17.26020454461667,-18.69785751463356
-18.53327766362495,-18.27952749050145
-18.51472469245817,-18.5765841831493
-15.07224108974737,-15.87865564440851
-14.62151804741661,-13.01106184903357
-13.64085157814589,-12.9312797230855
-14.54597482022544,-13.87994774542517
-12.62440743968788,-13.50210765528513
-14.1666699520895,-13.86975144554092
-12.82472014378029,-10.20938985881928
-15.19524306052799,-13.12206257407209
-15.71779778316342,-13.43571677063758
-10.99172568642317,-11.0765638999968
-10.2579196509669,-13.22121273321064
-12.96748244235846,-15.20836959612907
-12.5495837002089,-14.42888024268539
-15.23421147001027,-11.75891775140148
-18.312850194935,
-12.06342709878249,-8.318402133524446
-13.66733356571166,-11.78403535780694
-12.81513495190882,-9.58146291594793
-11.98400047090348,-14.77263687148502
-11.69914170581357,-11.66853686741461
-13.06884971591676,-11.633482189245
-14.69319313679915,-10.91395962499342
-11.88822159732877,-12.69853391150911
-12.86245028741568,-12.18879419678088
-9.725910804763146,-13.95278269425993
-12.46328254887099,-10.63705925480396
-11.78124877574774,-10.83073388763181
-12.64771881334291,-11.65420432184583
-13.42908653659229,-11.90023778671719
-13.87313447429393,-8.89919954033077
-15.03119123236122,-7.7788769226112
,-9.229780558087269
-13.10808715714571,-9.280027400345169
,-8.118764222632196
-11.52894193722025,-7.432787349915814
-9.433437088907139,-9.319355655317054
-9.636175063137559,
-11.24220990650692,-8.328512668777336
-11.59941395116758,-6.531784906578733
-9.187206749976433,-6.520964231300952
-9.417985792018872,-7.001742754137711
-8.751428441569878,
-10.51787645536545,-5.998811009486269
-8.113904797943595,-5.91118872481178
-10.06711761818834,-6.653852949268367
-10.77364165858838,-6.692651298126808
,-6.284923316384263
-9.186073137406547,-5.26750590511765
-8.835200716862586,
-9.757610704323453,-5.794188815333843
-7.9138337596208785,-5.17956771172395
-8.686206121557866,-4.5467524940756885
-9.438457517006515,-6.5666247183483915
-9.887619095755255,-2.571118873450614
-8.183842822571505,-4.014240604758623
-8.364478679268279,-3.7584688477991453
-6.327296332285297,-3.694341018527642
-7.313047285648021,-1.8588335050530889
-6.281226166380288,-2.785578421436278
-6.207787064889597,-4.248638025064349
-8.181925197257804,-2.665462406002531
-8.92259354954743,-2.795602023642841
-6.023413628328069,-2.239706855742906
-7.599667649321188,-2.52820290712501
-7.168930859002915,-0.9351716444698195
,-2.499292912113949
-6.571077991186648,-2.061595514710729
-7.423419406943599,-1.459098345701227
-5.323132260558431,-2.270306484975816
-3.85714762864899,0.4530378795435723
-4.836928113988999,0.389601462458489
-4.851046786235463,0.3582826477087523
-6.040417526112432,0.171231669288531
-5.801683540535946,-0.3249567920953396
-5.659886172699273,
-5.9236717688501965,1.172891241335412
-5.331425065565904,-0.2085833784248577
-5.731724135700729,-0.06740859620708042
-7.180336183389965,1.086361051061429
-5.681180482941616,0.7238964345480114
-4.463210498198049,1.563972121862321
-3.497194583661166,0.4895498987379935
-5.17000662698631,-0.2175587715082339
-5.1379284997369155,0.9740365652279712
,-0.206004509539964
-2.408416960458764,1.152098653618766
,-0.7347509782443747
-6.875116647861595,0.9421916050241009
-3.7601091974341347,0.6430384895352159
,0.9073793272922839
-5.884304695134168,1.945752771723757
-5.24746016339598,2.7372248092279348
-4.154576166422374,2.640494478301385
-5.326660014210847,2.090632602199423
-2.429083351211442,1.973223129749858
-4.158373306131909,0.6267767067729859
-3.664884405898097,1.691212257282197
-5.769240702150814,
-2.785592179138713,0.5642348149989915
,1.109087815969897
-5.475366612320647,0.1677505630160581
-2.414604459472332,0.7659413910466337
,2.330768016903031
-3.948708849996422,2.662933345707806
-4.709360180581769,1.198493427721754
-3.910411955995686,1.5411559353823678
-3.429694459901845,1.270828795786424
-3.824111807508938,1.077895439562149
,2.125669598828347
-3.387176996995959,1.39281000900328
