step,0618_1040-learners/policy_1/policy_loss_step,0618_1034-learners/policy_1/policy_loss_step,0618_1040-learners/policy_2/policy_loss_step,0618_1034-learners/policy_2/policy_loss_step,0618_1040-learners/policy_3/policy_loss_step,0618_1034-learners/policy_3/policy_loss_step,0618_1040-learners/policy_4/policy_loss_step,0618_1034-learners/policy_4/policy_loss_step,0618_1040-learners/policy_5/policy_loss_step,0618_1034-learners/policy_5/policy_loss_step,0618_1040-learners/policy_6/policy_loss_step,0618_1034-learners/policy_6/policy_loss_step,0618_1040-learners/policy_7/policy_loss_step,0618_1034-learners/policy_7/policy_loss_step,0618_1040-learners/policy_8/policy_loss_step,0618_1034-learners/policy_8/policy_loss_step,0618_1040-learners/policy_9/policy_loss_step,0618_1034-learners/policy_9/policy_loss_step,0618_1040-learners/policy_10/policy_loss_step,0618_1034-learners/policy_10/policy_loss_step
1,0.07210763543844223,0.07648982852697372,0.06827715784311295,0.07167608290910721,0.07194628566503525,0.07443108409643173,0.07127917557954788,0.07345889508724213,0.0767628476023674,0.0734146311879158,0.07147479802370071,0.06970037519931793,0.06965937465429306,0.07018841058015823,0.07047729194164276,0.06841698288917542,0.06928376108407974,0.06858530640602112,0.0682360976934433,0.07473541796207428
2,0.07968778163194656,0.06605155766010284,0.08297933638095856,0.07474055141210556,0.0777711346745491,0.06618595868349075,0.07494311034679413,0.06715497374534607,0.07798779010772705,0.06805244833230972,0.07148613035678864,0.06854555755853653,0.07548161596059799,0.06745348125696182,0.07282303273677826,0.06320646405220032,0.07266577333211899,0.06761346757411957,0.07121007144451141,0.06409469991922379
3,0.08295771479606628,0.07821521162986755,0.07633844763040543,0.07552381604909897,0.07567103952169418,0.0819883644580841,0.07485047727823257,0.08167020231485367,0.08054809272289276,0.07437159866094589,0.07411091029644012,0.07959695905447006,0.07773478329181671,0.07128576934337616,0.0729822963476181,0.07366598397493362,0.07351698726415634,0.07236762344837189,0.07630566507577896,0.07215482741594315
4,0.09222162514925003,0.0966324657201767,0.08452264219522476,0.08866409212350845,0.08803445100784302,0.09066896140575409,0.08986660093069077,0.09230687469244003,0.08695472031831741,0.0815681591629982,0.0821722149848938,0.08777593076229095,0.07968726009130478,0.08270125091075897,0.0786224827170372,0.07962694764137268,0.07415631413459778,0.07997388392686844,0.083890900015831,0.08192052692174911
5,0.09565060585737228,0.08952165395021439,0.09875010699033737,0.08909941464662552,0.09124254435300827,0.08773331344127655,0.09026413410902023,0.08253594487905502,0.08833857625722885,0.08228772133588791,0.09281893074512482,0.08199506253004074,0.08973369002342224,0.0809599980711937,0.08766207844018936,0.08011782169342041,0.08011818677186966,0.07769645750522614,0.08425049483776093,0.0760718509554863
6,0.09113392978906631,0.08676202595233917,0.09233782440423965,0.09090637415647507,0.08689560741186142,0.09063491970300674,0.09025443345308304,0.08701058477163315,0.08976518362760544,0.08438301086425781,0.08587649464607239,0.0844983160495758,0.08258137851953506,0.08549130707979202,0.08817371726036072,0.08291459828615189,0.08338787406682968,0.08440550416707993,0.08362598717212677,0.08610300719738007
7,0.09842891991138458,0.09366203099489212,0.0931210070848465,0.09072449058294296,0.09352447837591171,0.08200111240148544,0.09017965197563171,0.08659318089485168,0.09311523288488388,0.07727067172527313,0.0945441946387291,0.07566572725772858,0.093382328748703,0.08082177489995956,0.08485575020313263,0.07679297775030136,0.08690011501312256,0.07734828442335129,0.08500266820192337,0.0711524486541748
8,0.0922999233007431,0.08774144947528839,0.0893627479672432,0.08379661291837692,0.09064514935016632,0.08659593760967255,0.09215370565652847,0.08640912175178528,0.08035486936569214,0.0848398357629776,0.08787549287080765,0.08589022606611252,0.08872092515230179,0.08501850068569183,0.08333677053451538,0.08021871000528336,0.07982823252677917,0.08356916904449463,0.07859966903924942,0.07749304175376892
9,0.09824742376804352,0.09349868446588516,0.08656544983386993,0.08358247578144073,0.08914083987474442,0.08646823465824127,0.08727731555700302,0.07723482698202133,0.0941634252667427,0.09017029404640198,0.08391448855400085,0.0852602869272232,0.0848829597234726,0.07968173176050186,0.0801403671503067,0.08351847529411316,0.06788842380046844,0.08171685039997101,0.08258280903100967,0.08680152893066406
10,0.08215237408876419,0.08809260278940201,0.0865345224738121,0.07760713249444962,0.08921804279088974,0.08172356337308884,0.07678363472223282,0.07567566633224487,0.08351833373308182,0.07873280346393585,0.0868975967168808,0.08308231830596924,0.08498616516590118,0.0690726488828659,0.07489896565675735,0.07706589996814728,0.08112239092588425,0.07617945224046707,0.08184090256690979,0.07376255095005035
11,0.07912647724151611,0.07044610381126404,0.07435471564531326,0.0727187842130661,0.07310157269239426,0.07968449592590332,0.07943328469991684,0.06544125825166702,0.07921773940324783,0.07755504548549652,0.07449940592050552,0.07288681715726852,0.0804700255393982,0.07342368364334106,0.07502976804971695,0.07365449517965317,0.07249339669942856,0.06571179628372192,0.08192545920610428,0.07012931257486343
12,0.06769032776355743,0.07006406038999557,0.06869740039110184,0.06762658804655075,0.0660073459148407,0.07161220163106918,0.07436530292034149,0.06529774516820908,0.06254511326551437,0.06541118770837784,0.06322412937879562,0.06395047903060913,0.07064054161310196,0.06776043027639389,0.06677902489900589,0.06820735335350037,0.06957343220710754,0.0679268166422844,0.0661516860127449,0.06442428380250931
13,0.07439959049224854,0.06510929763317108,0.06679213047027588,0.06250980496406555,0.0711849182844162,0.06925646215677261,0.06845343112945557,0.06410524994134903,0.06430605798959732,0.07018724083900452,0.06913185864686966,0.07334554940462112,0.07281138747930527,0.0671694278717041,0.06478158384561539,0.06727411597967148,0.06995002925395966,0.05943756550550461,0.06865517795085907,0.0608915276825428
14,0.06525401026010513,0.06614041328430176,0.06243525072932243,0.05974635109305382,0.06825746595859528,0.06282404810190201,0.06426628679037094,0.05542746186256409,0.06381695717573166,0.06545449048280716,0.07528112828731537,0.06211470812559128,0.07838211208581924,0.06458427011966705,0.06396857649087906,0.06766163557767868,0.06855461746454239,0.07024253904819489,0.07535244524478912,0.06319459527730942
15,0.07140792906284332,0.06995191425085068,0.06329575181007385,0.05521108955144882,0.06181702017784119,0.05992227047681808,0.06894797086715698,0.05688473209738731,0.06345079094171524,0.06393054872751236,0.0635351911187172,0.06707451492547989,0.07373187690973282,0.05737637728452682,0.06951849907636642,0.06537816673517227,0.07015702873468399,0.06310109794139862,0.06893404573202133,0.0593860000371933
16,0.04341422021389008,0.06502439081668854,0.05285673215985298,0.05463805422186852,0.05785294249653816,0.05903201177716255,0.06274381279945374,0.06099514290690422,0.06297999620437622,0.06643211841583252,0.0557214580476284,0.05802085250616074,0.06687463074922562,0.06806959211826324,0.06018024682998657,0.06755030155181885,0.06267423927783966,0.07080269604921341,0.07122153043746948,0.06074138358235359
17,0.05588653311133385,0.0500980019569397,0.05665428936481476,0.05150066688656807,0.04828716814517975,0.05650056153535843,0.0563485212624073,0.06126119196414948,0.05651134252548218,0.06243842095136642,0.06061259284615517,0.06346386671066284,0.0651579424738884,0.06142196804285049,0.06667907536029816,0.0638033077120781,0.05835757777094841,0.06258618831634521,0.0725761204957962,0.06282800436019897
18,0.05288835614919662,0.05330523476004601,0.05114995688199997,0.04643398523330688,0.04421285539865494,0.05604198202490807,0.04508090764284134,0.0516800545156002,0.04579055309295654,0.05734203010797501,0.04864662885665894,0.0599871501326561,0.0564027726650238,0.05144871771335602,0.06335052847862244,0.06660664081573486,0.05948451906442642,0.06342669576406479,0.0648784413933754,0.06924767792224884
19,0.06236732006072998,0.05430182069540024,0.0533517561852932,0.05229512602090836,0.05691117793321609,0.04798458144068718,0.05463863536715508,0.06347305327653885,0.053057961165905,0.05490416288375854,0.04654359444975853,0.05388079583644867,0.06758066266775131,0.05831100419163704,0.06403150409460068,0.06499538570642471,0.06322454661130905,0.0581834502518177,0.06770285218954086,0.06405451893806458
20,0.05836596339941025,0.05564187467098236,0.05868232622742653,0.0477411188185215,0.06191116943955421,0.05560186877846718,0.06276458501815796,0.04928549006581306,0.06272367388010025,0.05564530193805695,0.05736552178859711,0.05788680538535118,0.0670187920331955,0.05995046347379684,0.06330754607915878,0.06262310594320297,0.07134667783975601,0.05814166739583015,0.07853589206933975,0.0659271702170372
21,0.06031402572989464,0.04312998428940773,0.05419923365116119,0.04902677610516548,0.06432069092988968,0.0470111295580864,0.05999366939067841,0.05329326540231705,0.05836799740791321,0.05542391538619995,0.05890082940459251,0.05420928820967674,0.06196257472038269,0.05467363819479942,0.06433475017547607,0.05934602022171021,0.06581342965364456,0.06264127790927887,0.0707101970911026,0.06226761266589165
22,0.05665136501193047,0.05958632752299309,0.06020164489746094,0.04891765862703323,0.0586727112531662,0.05914625525474548,0.0550389289855957,0.0528152771294117,0.05297727137804031,0.05770929157733917,0.05451501905918121,0.05761553347110748,0.05602962523698807,0.04962030798196793,0.06127273291349411,0.05661943182349205,0.05665405839681625,0.06556162983179092,0.06386051326990128,0.05903523042798042
23,0.05797340720891953,,0.06391873955726624,,0.06140737980604172,,0.06302512437105179,,0.06036599725484848,,0.05920819193124771,,0.06880135089159012,,0.06198263168334961,,0.06715914607048035,,0.06693228334188461,
24,0.04545651003718376,0.04918523505330086,0.0479523167014122,0.04356443136930466,0.05671511963009834,0.05420631542801857,0.05704725906252861,0.04141348227858543,0.05285361409187317,0.05008403584361076,0.05330967158079147,0.04448708146810532,0.06019360572099686,0.04789906740188599,0.05505021661520004,0.04938917607069016,0.06744556128978729,0.0558379702270031,0.06186437979340553,0.05303505808115005
25,0.06036210805177689,0.04607859626412392,0.06229177862405777,0.04525969922542572,0.05914618074893951,0.0435168482363224,0.05755522474646568,0.05164295434951782,0.05527084320783615,0.0480174832046032,0.05890541896224022,0.04486242681741714,0.06441642343997955,0.04739644750952721,0.06441769003868103,0.04666801914572716,0.06208141148090363,0.05372706428170204,0.06388269364833832,0.05859464406967163
